en	kr	lang	def_1	def_2	def_3	def_4	def_5	def_6	def_7	def_8	def_9
apple	사과	en	A round fruit with shiny red or green skin that is fairly hard and white inside.	A round fruit with firm, white flesh and a green, red, or yellow skin.	A hard round fruit that is white inside and has a smooth green, yellow, or red skin, which is called peel when it has been removed. The middle part of the apple containing the seeds is called the core. Apples grow on apple trees.	An apple is a round fruit with smooth green, yellow, or red skin and firm white flesh.	A hard round fruit that has red, light green, or yellow skin and is white inside.	the fleshy, usually rounded red, yellow, or green edible pome fruit of a usually cultivated tree of the rose family.	A common, round fruit produced by the tree Malus domestica, cultivated in temperate climates.	An apple is an edible fruit produced by an apple tree.	the usually round, red or yellow, edible fruit of a small tree, Malus sylvestris, of the rose family.
banana	바나나	en	A long curved fruit with a thick yellow skin and that is soft inside, which grows on trees in hot countries.	A long, curved fruit with a yellow skin and soft, sweet, white flesh inside.	a long curved fruit with a yellow skin	A long curved fruit with yellow skins.	a long curved tropical fruit with a yellow skin.	an elongated usually tapering tropical fruit with soft pulpy flesh enclosed in a soft usually yellow rind.	An elongated curved tropical fruit that grows in bunches and has a creamy flesh and a smooth skin.	an elongated, edible fruit produced by several kinds of large herbaceous flowering plants in the genus Musa.	a tropical plant of the genus Musa, certain species of which are cultivated for their nutritious fruit.Compare banana family.
orange	오렌지	en	A round citrus fruit with thick skin of a colour between red and yellow and a lot of sweet juice.	A round, sweet fruit with a thick skin and a centre that has many parts.	A small green or purple fruit that grows in bunches on a vine, often used for making wine.	An orange is a round juicy fruit with a thick, orange coloured skin.	A round fruit that has a thick orange skin and is divided into parts inside.	a globose berry with a yellowish to reddish-orange rind and a sweet edible pulp.	The fruit of the orange tree a citrus fruit with a slightly sour flavour.	The orange is the fruit of various citrus species in the family Rutaceae	a globose, reddish-yellow, bitter or sweet, edible citrus fruit.
grape	포도	en	A small green or purple fruit that grows in bunches on a climbing plant.	A small, round, purple or pale green fruit that you can eat or make into wine.	A small green or purple fruit that grows in bunches on a vine, often used for making wine.	A small, round, purple or pale green fruit that you can eat or make into wine.	One of a number of small round green or purple fruits that grow together on a vine. Grapes are often used for making wine.	A smooth-skinned juicy light green or deep red to purplish black berry eaten dried or fresh as a fruit or fermented to produce wine	A small, round, smooth-skinned edible fruit, usually purple, red, or green, that grows in bunches on vines of genus Vitis.	A grape is a fruit, botanically a berry, of the deciduous woody vines of the flowering plant genus Vitis.	the edible, pulpy, smooth-skinned berry or fruit that grows in clusters on vines of the genus Vitis, and from which wine is made.
avocado	아보카도	en	A tropical fruit with hard, dark green skin and a soft, light green inside part that does not taste sweet and contains a large seed.	a tropical fruit with thick, dark green or purple skin, a large, round seed, and soft, pale green flesh that can be eaten.	a fruit with green or black skin, a very large seed in the middle, and pale green flesh that does not taste sweet. It is usually eaten raw in salads.	Avocados are pear-shaped vegetables, with hard skins and large stones, which are usually eaten raw.	a fruit with a thick green or dark purple skin that is green inside and has a large seed in the middle.	a pulpy green- to purple-skinned nutty-flavored fruit of any of various tropical American trees (genus Persea especially P. americana) of the laurel family.	The large, usually yellowish-green or black, pulpy fruit of the avocado tree.	The fruit of the plant, also called an avocado (or avocado pear or alligator pear), is botanically a large berry containing a single large seed.	Also called alligator pear. a large, usually pear-shaped fruit having green to blackish skin, a single large seed, and soft, light-green pulp, borne by the tropical American tree Persea americana and its variety P. adrymifolia, often eaten raw, especially in salads.
pineapple	파인애플	en	A large tropical fruit with thick rough skin and stiff leaves on top, that is sweet and yellow inside with a lot of juice.	A large tropical fruit with a rough orange or brown skin and pointed leaves on top.	A large fruit that is yellow and juicy inside and has a thick yellow-brown skin with sharp points on it	A tropical monocotyledonous plant that has rigid spiny-margined recurved leaves and a short stalk with a dense oblong head of small abortive flowers	The large edible multiple fruit of the pineapple that consists of the sweet succulent fleshy inflorescence	A tropical plant, Ananas comosus, native to South America, having thirty or more long, spined and pointed leaves surrounding a thick stem.	A large oval fruit that grows in hot countries. 	A fruit that is sweet, juicy, and yellow inside, which has a thick brownish skin.	A tropical plant with an edible fruit and the most economically significant plant in the family Bromeliaceae.
apple	사과	kr	색깔이 붉고 맛은 새콤달콤한 열매								
banana	바나나	kr	초승달 모양의 긴 타원형으로 색깔은 주로 누런색인, 맛과 향기가 좋은 열매.								
orange	오렌지	kr	 가죽질의 기름기를 함유한 껍질과, 안쪽의 즙이 많은 과육으로 이루어진 열매. 								
grape	포도	kr	자줏빛, 푸른빛, 검은빛을 띠며, 맛은 달고 새큼한 둥근 모양의 장과.								
avocado	아보카도	kr	서양배 모양으로 자색 또는 자갈색인데 3~10일간 저장하였다가 먹는 열매								
pineapple	파인애플	kr	그대로 먹거나, 통조림, 주스 등으로 가공해 먹기도 하는 열매	누런빛을 띤 붉은색의 열매							
